2010 SOC code	2010 Census Code	2010 Census Title 	2018 SOC Code	2018 Census Code	2018 Census Title 
Nov-81	340	Lodging Managers	Nov-81	340	Lodging Managers
Nov-11	350	Medical and Health Services Managers	Nov-11	350	Medical and Health Services Managers
Nov-21	360	Natural Sciences Managers	Nov-21	360	Natural Sciences Managers
Nov-31	400	Postmasters and Mail Superintendents	Nov-31	400	Postmasters and Mail Superintendents
Nov-41	410	"Property, Real Estate, and Community Association Managers"	Nov-41	410	"Property, Real Estate, and Community Association Managers"
Nov-51	420	Social and Community Service Managers	Nov-51	420	Social and Community Service Managers
Nov-61	425	Emergency Management Directors	Nov-61	425	Emergency Management Directors
			Nov-79	426	"Personal Service Managers, All Other"
Nov-99	430	"Managers, All Other"	Nov-99	440	"Managers, All Other"
13-1011	500	"Agents and Business Managers of Artists, Performers, and Athletes"	13-1011	500	"Agents and Business Managers of Artists, Performers, and Athletes"
13-1021	510	"Buyers and Purchasing Agents, Farm Products"	13-1021	510	"Buyers and Purchasing Agents, Farm Products"
13-1022	520	"Wholesale and Retail Buyers, Except Farm Products"	13-1022	520	"Wholesale and Retail Buyers, Except Farm Products"
13-1023	530	"Purchasing Agents, Except Wholesale, Retail, and Farm Products"	13-1023	530	"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
13-1030	540	"Claims Adjusters, Appraisers, Examiners, and Investigators"	13-1030	540	"Claims Adjusters, Appraisers, Examiners, and Investigators"
					"Claims Adjusters, Examiners, and Investigators (13-1031)"
					"Insurance Appraisers, Auto Damage (13-1032)"
13-1041	565	Compliance Officers	13-1041	565	Compliance Officers
13-1051	600	Cost Estimators	13-1051	600	Cost Estimators
13-1070	630	Human Resources Workers	13-1070	630	Human Resources Workers
					Human Resources Specialists (13-1071)
					Farm Labor Contractors (13-1074)
					Labor Relations Specialists (13-1075)
13-1081	700	Logisticians	13-1081	700	Logisticians
			13-1082	705	Project Management Specialists
13-1111	710	Management Analysts	13-1111	710	Management Analysts
13-1121	725	"Meeting, Convention, and Event Planners"	13-1121	725	"Meeting, Convention, and Event Planners"
13-1131	726	Fundraisers	13-1131	726	Fundraisers
13-1141	640	"Compensation, Benefits, and Job Analysis Specialists"	13-1141	640	"Compensation, Benefits, and Job Analysis Specialists"
13-1151	650	Training and Development Specialists	13-1151	650	Training and Development Specialists
13-1161	735	Market Research Analysts and Marketing Specialists	13-1161	735	Market Research Analysts and Marketing Specialists
13-1199 	740	"Business Operations Specialists, All Other"	13-1199	750	"Business Operations Specialists, All Other"
13-2011	800	Accountants and Auditors	13-2011	800	Accountants and Auditors
13-2021	810	Appraisers and Assessors of Real Estate	13-2020	810	Property Appraisers and Assessors
					Appraisers of Personal and Business Property (13-2022)
					Appraisers and Assessors of Real Estate (13-2023)
13-2031	820	Budget Analysts	13-2031	820	Budget Analysts
13-2041	830	Credit Analysts	13-2041	830	Credit Analysts
13-2051	840	Financial Analysts	13-2051	845	Financial and Investment Analysts
13-2052	850	Personal Financial Advisors	13-2052	850	Personal Financial Advisors
13-2053	860	Insurance Underwriters	13-2053	860	Insurance Underwriters
					
13-2061	900	Financial Examiners	13-2061	900	Financial Examiners
13-2070	910	Credit Counselors and Loan Officers	13-2070	910	Credit Counselors and Loan Officers
					Credit Counselors (13-2071)
					Loan Officers (13-2072)
13-2081	930	"Tax Examiners and Collectors, and Revenue Agents"	13-2081	930	"Tax Examiners and Collectors, and Revenue Agents"
13-2082	940	Tax Preparers	13-2082	940	Tax Preparers
13-2099	950	"Financial Specialists, All Other"	13-20XX	960	Other Financial Specialists
					Financial Risk Specialists (13-2054)
					"Financial Specialists, All Other (13-2099)"
15-1111	1005	Computer and Information Research Scientists	15-1221	1005	Computer and Information Research Scientists
15-1121	1006	Computer Systems Analysts	15-1211	1006	Computer Systems Analysts
15-1199	1107	"Computer Occupations, All Other"	15-1299	1108	"Computer Occupations, All Other"
15-1131	1010	Computer Programmers	15-1251	1010	Computer Programmers
15-113X	1020	"Software Developers, Applications and Systems Software"			
			15-1252	1021	Software Developers
			15-1253	1022	Software Quality Assurance Analysts and Testers
15-1150	1050	Computer Support Specialists	15-1230	1050	Computer Support Specialists
					Computer Network Support Specialists (15-1231)
					Computer User Support Specialists (15-1232)
15-1141	1060	Database Administrators	15-124X	1065	Database Administrators and Architects
					Database Administrators (15-1242)
					Database Architects (15-1243)
15-1142	1105	Network and Computer Systems Administrators	15-1244	1105	Network and Computer Systems Administrators
15-1122	1007	Information Security Analysts	15-1212	1007	Information Security Analysts
15-1134	1030	Web Developers			
			15-1254	1031	Web Developers
			15-1255	1032	Web and Digital Interface Designers
15-1143	1106	Computer Network Architects	15-1241	1106	Computer Network Architects
15-2011	1200	Actuaries	15-2011	1200	Actuaries
15-2021	1210	Mathematicians	15-2021	1210	Mathematicians
15-2031	1220	Operations Research Analysts	15-2031	1220	Operations Research Analysts
15-2041	1230	Statisticians	15-2041	1230	Statisticians
15-2090	1240	Miscellaneous Mathematical Science Occupations	15-20XX	1240	Other Mathematical Science Occupations
					Data Scientists (15-2051)
					"Mathematical Science Occupations, All Other (15-2099)"
17-1010	1300	"Architects, except naval"			
			17-1011	1305	"Architects, Except Landscape and Naval"
			17-1012	1306	Landscape Architects
17-1020	1310	"Surveyors, Cartographers, and Photogrammetrists"	17-1020	1310	"Surveyors, Cartographers, and Photogrammetrists"
					Cartographers and Photogrammetrists (17-1021)
					Surveyors (17-1022)
17-2011	1320	Aerospace Engineers	17-2011	1320	Aerospace Engineers
17-2021	1330	Agricultural Engineers	17-2021	1330	Agricultural Engineers
17-2031	1340	Biomedical Engineers	17-2031	1340	Bioengineers and biomedical engineers
17-2041	1350	Chemical Engineers	17-2041	1350	Chemical Engineers
17-2051	1360	Civil Engineers	17-2051	1360	Civil Engineers
17-2061	1400	Computer Hardware Engineers	17-2061	1400	Computer Hardware Engineers
17-2070	1410	Electrical and Electronics Engineers	17-2070	1410	Electrical and Electronics Engineers
					Electrical Engineers (17-2071)
					"Electronics Engineers, Except Computer (17-2072)"
17-2081	1420	Environmental Engineers	17-2081	1420	Environmental Engineers
17-2110	1430	"Industrial Engineers, including Health and Safety "	17-2110	1430	"Industrial Engineers, including Health and Safety "
					"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors (17-2111)"
					Industrial Engineers (17-2112)
17-2121	1440	Marine Engineers and Naval Architects	17-2121	1440	Marine Engineers and Naval Architects
17-2131	1450	Materials Engineers	17-2131	1450	Materials Engineers
17-2141	1460	Mechanical Engineers	17-2141	1460	Mechanical Engineers
17-2151	1500	"Mining and Geological Engineers, Including Mining Safety Engineers"	17-2151	1500	"Mining and Geological Engineers, Including Mining Safety Engineers"
17-2161	1510	Nuclear Engineers	17-2161	1510	Nuclear Engineers
17-2171	1520	Petroleum Engineers	17-2171	1520	Petroleum Engineers
17-2199	1530	"Engineers, All Other"	17-2199	1530	"Engineers, All Other"
17-3010	1540	Drafters			
			17-3011	1541	Architectural and Civil Drafters
			17-301X	1545	Other Drafters
					Electrical and Electronics Drafters (17-3012 )
					Mechanical Drafters (17-3013)
					"Drafters, All Other (17-3019)"
17-3020	1550	"Engineering Technicians, Except Drafters"			
			17-3023	1551	Electrical and Electronic Engineering Technologists and Technicians
			17-302X	1555	"Other Engineering Technologists and Technicians, Except Drafters"
					Aerospace Engineering and Operations Technologists and Technicians (17-3021)
					Civil Engineering Technologists and Technicians (17-3022)
					Electro-Mechanical and Mechatronics Technologists and Technicians (17-3024)
					Environmental Engineering Technologists and Technicians (17-3025)
					Industrial Engineering Technologists and Technicians (17-3026)
					Mechanical Engineering Technologists and Technicians (17-3027)
					Calibration Technologists and Technicians (17-3028)
					"Engineering Technologists and Technicians, Except Drafters, All Other (17-3029)"
17-3031	1560	Surveying and Mapping Technicians	17-3031	1560	Surveying and Mapping Technicians
19-1010	1600	Agricultural and Food Scientists	19-1010	1600	Agricultural and Food Scientists
					Animal Scientists (19-1011)
					Food Scientists and Technologists (19-1012)
					Soil and Plant Scientists (19-1013)
19-1020	1610	Biological Scientists	19-1020	1610	Biological Scientists
					Biochemists and Biophysicists (19-1021)
					Microbiologists (19-1022)
					Zoologists and Wildlife Biologists (19-1023)
					"Biological Scientists, All Other (19-1029)"
19-1030	1640	Conservation Scientists and Foresters	19-1030	1640	Conservation Scientists and Foresters
					Conservation Scientists (19-1031)
					Foresters (19-1032)
19-1040	1650	Medical Scientists	19-1040	1650	Medical Scientists
					Epidemiologists (19-1041)
					"Medical Scientists, Except Epidemiologists (19-1042)"
19-1099	1660	"Life scientists, all other"	19-1099	1660	"Life Scientists, All Other"
19-2010	1700	Astronomers and Physicists	19-2010	1700	Astronomers and Physicists
					Astronomers (19-2011)
					Physicists (19-2012)
19-2021	1710	Atmospheric and Space Scientists	19-2021	1710	Atmospheric and Space Scientists
19-2030	1720	Chemists and Materials Scientists	19-2030	1720	Chemists and Materials Scientists
					Chemists (19-2031)
					Materials Scientists (19-2032)
19-2040	1740	Environmental Scientists and Geoscientists			
			19-2041	1745	"Environmental Scientists and Specialists, Including Health"
			19-204X	1750	"Geoscientists and Hydrologists, Except Geographers"
					"Geoscientists, Except Hydrologists and Geographers (19-2042)"
					Hydrologists (19-2043)
19-2099	1760	"Physical Scientists, All Other"	19-2099	1760	"Physical Scientists, All Other"
19-3011	1800	Economists	19-3011	1800	Economists
19-3022	1815	Survey Researchers	19-3022	1815	Survey Researchers
19-3030	1820	Psychologists			
			19-3033	1821	Clinical and Counseling Psychologists
			19-3034	1822	School Psychologists
			19-303X	1825	Other Psychologists
					Industrial-Organizational Psychologists (19-3032)
					"Psychologists, All Other (19-3039)"
19-3041	1830	Sociologists	19-3041	1830	Sociologists
19-3051	1840	Urban and Regional Planners	19-3051	1840	Urban and Regional Planners
19-3090	1860	Miscellaneous Social Scientists and Related Workers	19-3090	1860	Miscellaneous Social Scientists and Related Workers
					Anthropologists and Archeologists (19-3091)
					Geographers  (19-3092)
					Historians (19-3093)
					Political Scientists (19-3094)
					"Social Scientists and Related Workers, All Other (19-3099)"
19-4011	1900	Agricultural and Food Science Technicians	19-4010	1900	Agricultural and Food Science Technicians
					Agricultural Technicians (19-4012)
					Food Science Technicians (19-4013)
19-4021	1910	Biological Technicians	19-4021	1910	Biological Technicians
19-4031	1920	Chemical Technicians	19-4031	1920	Chemical Technicians
19-4041	1930	Geological and Petroleum Technicians	19-4040	1935	Environmental Science and Geoscience Technicians
					"Environmental Science and Protection Technicians, Including Health (19-4042)"
					"Geological Technicians, except Hydrologic Technicians (19-4043)"
					Hydrologic Technicians (19-4044)
19-4051	1940	Nuclear Technicians	19-4051	1940	Nuclear Technicians
					
19-4061	1950	Social Science Research Assistants	19-4061	1950	Social Science Research Assistants
19-4090	1965	"Miscellaneous Life, Physical, and Social Science Technicians"	19-40XX	1970	"Other Life, Physical, and Social Science Technicians"
					Forest and Conservation Technicians (19-4071)
					Forensic Science Technicians (19-4092)
					"Life, Physical, and Social Science Technicians, All Other (19-4099)"
					
21-1010	2000	Counselors			
			21-1011	2001	Substance Abuse and Behavioral Disorder Counselors
			21-1012	2002	"Educational, Guidance, and Career Counselors and Advisors"
			21-1013	2003	Marriage and Family Therapists
			21-1014	2004	Mental Health Counselors
			21-1015	2005	Rehabilitation Counselors
			21-1019	2006	"Counselors, All Other"
21-1020	2010	Social Workers			
			21-1021	2011	"Child, Family, and School Social Workers"
			21-1022	2012	Healthcare Social Workers
			21-1023	2013	Mental Health and Substance Abuse Social Workers
			21-1029	2014	"Social Workers, All Other"
21-1092	2015	Probation officers and correctional treatment specialists	21-1092	2015	Probation Officers and Correctional Treatment Specialists
21-1093	2016	Social and human service assistants	21-1093	2016	Social and Human Service Assistants
21-109X	2025	"Miscellaneous Community and Social Service Specialists, including health educators and community health workers"	21-109X	2025	Other Community and Social Service Specialists
					Health Education Specialists (21-1091)
					Community Health Workers (21-1094)
					"Community and Social Service Specialists, All Other (21-1099)"
21-2011	2040	Clergy	21-2011	2040	Clergy
21-2021	2050	"Directors, Religious Activities and Education"	21-2021	2050	"Directors, Religious Activities and Education"
21-2099	2060	"Religious Workers, All Other"	21-2099	2060	"Religious Workers, All Other"
23-1011	2100	Lawyers	23-1011	2100	Lawyers
23-1012	2105	Judicial Law Clerks	23-1012	2105	Judicial Law Clerks
23-1020	2110	"Judges, Magistrates, and Other Judicial Workers"	23-1020	2110	"Judges, Magistrates, and Other Judicial Workers"
					"Administrative Law Judges, Adjudicators, and Hearing Officers (23-1021)"
					"Arbitrators, Mediators, and Conciliators (23-1022)"
					"Judges, Magistrate Judges, and Magistrates (23-1023)"
23-2011	2145	Paralegals and Legal Assistants	23-2011	2145	Paralegals and Legal Assistants
23-2090	2160	Miscellaneous Legal Support Workers			
			27-3092	2862	Court Reporters and Simultaneous Captioners
			23-2093	2170	"Title Examiners, Abstractors, and Searchers"
			23-2099	2180	"Legal Support Workers, All Other"
25-1000	2200	Postsecondary Teachers	25-1000	2205	Postsecondary Teachers
					"Business Teachers, Postsecondary (25-1011)"
					"Computer Science Teachers, Postsecondary (25-1021)"
					"Mathematical Science Teachers, Postsecondary (25-1022)"
					"Architecture Teachers, Postsecondary (25-1031)"
					"Engineering Teachers, Postsecondary (25-1032)"
					"Agricultural Sciences Teachers, Postsecondary (25-1041)"
					"Biological Science Teachers, Postsecondary (25-1042)"
					"Forestry and Conservation Science Teachers, Postsecondary (25-1043)"
					"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary (25-1051)"
					"Chemistry Teachers, Postsecondary (25-1052)"
					"Environmental Science Teachers, Postsecondary (25-1053)"
					"Physics Teachers, Postsecondary (25-1054)"
					"Anthropology and Archeology Teachers, Postsecondary (25-1061)"
					"Area, Ethnic, and Cultural Studies Teachers, Postsecondary (25-1062)"
					"Economics Teachers, Postsecondary (25-1063)"
					"Geography Teachers, Postsecondary (25-1064)"
					"Political Science Teachers, Postsecondary (25-1065)"
					"Psychology Teachers, Postsecondary (25-1066)"
					"Sociology Teachers, Postsecondary (25-1067)"
					"Social Sciences Teachers, Postsecondary, All Other (25-1069)"
					"Health Specialties Teachers, Postsecondary (25-1071)"
					"Nursing Instructors and Teachers, Postsecondary (25-1072)"
					"Education Teachers, Postsecondary (25-1081)"
					"Library Science Teachers, Postsecondary (25-1082)"
					"Criminal Justice and Law Enforcement Teachers, Postsecondary (25-1111)"
					"Law Teachers, Postsecondary (25-1112)"
					"Social Work Teachers, Postsecondary (25-1113)"
					"Art, Drama, and Music Teachers, Postsecondary (25-1121)"
					"Communications Teachers, Postsecondary (25-1122)"
					"English Language and Literature Teachers, Postsecondary (25-1123)"
					"Foreign Language and Literature Teachers, Postsecondary (25-1124)"
					"History Teachers, Postsecondary (25-1125)"
					"Philosophy and Religion Teachers, Postsecondary (25-1126)"
					"Family and Consumer Sciences Teachers, Postsecondary (25-1192)"
					"Recreation and Fitness Studies Teachers, Postsecondary (25-1193)"
					"Career/Technical Education Teachers, Postsecondary (25-1194)"
					"Postsecondary Teachers, All Other (25-1199)"
25-2010	2300	Preschool and Kindergarten Teachers	25-2010	2300	Preschool and Kindergarten Teachers
					"Preschool Teachers, Except Special Education (25-2011)"
					"Kindergarten Teachers, Except Special Education (25-2012)"
25-2020	2310	Elementary and Middle School Teachers	25-2020	2310	Elementary and Middle School Teachers
					"Elementary School Teachers, Except Special Education (25-2021)"
					"Middle School Teachers, Except Special and Career/Technical Education (25-2022)"
					"Career/Technical Education Teachers, Middle School (25-2023)"
25-2030	2320	Secondary School Teachers	25-2030	2320	Secondary School Teachers
					"Secondary School Teachers, Except Special and Career/Technical Education (25-2031)"
					"Career/Technical Education Teachers, Secondary School (25-2032)"
25-2050	2330	Special Education Teachers	25-2050	2330	Special Education Teachers
					"Special Education Teachers, Preschool (25-2051)"
					"Special Education Teachers, Kindergarten (25-2055)"
					"Special Education Teachers, Elementary School (25-2056)"
					"Special Education Teachers, Middle School (25-2057)"
					"Special Education Teachers, Secondary School (25-2058)"
					"Special Education Teachers, All Other (25-2059)"
25-3000	2340	Other Teachers and Instructors			
			25-3041	2350	Tutors
			25-30XX	2360	Other Teachers and Instructors
					"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors (25-3011)"
					Self-Enrichment Teachers (25-3021)
					"Substitute Teachers, Short-Term (25-3031)"
					"Teachers and Instructors, All Other (25-3099)"
25-4010	2400	"Archivists, Curators, and Museum Technicians"	25-4010	2400	"Archivists, Curators, and Museum Technicians"
					Archivists (25-4011)
					Curators (25-4012)
					Museum Technicians and Conservators (25-4013)
25-4021	2430	Librarians	25-4022	2435	Librarians and Media Collections Specialists
25-4031	2440	Library Technicians	25-4031	2440	Library Technicians
25-9041	2540	Teacher Assistants	25-9040	2545	Teaching Assistants
					"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education (25-9042)"
					"Teaching Assistants, Special Education (25-9043)"
					"Teaching Assistants, Postsecondary (25-9044)"
					"Teaching Assistants, All Other (25-9049)"
25-90XX	2550	"Other Education, Training, and Library Workers"	25-90XX	2555	Other Educational Instruction and Library Workers
					Farm and Home Management Educators (25-9021)
					Instructional Coordinators (25-9031)
					"Educational Instruction and Library Workers, All Other (25-9099)"
27-1010	2600	Artists and Related Workers	27-1010	2600	Artists and Related Workers
					Art Directors (27-1011)
					Craft Artists (27-1012)
					"Fine Artists, Including Painters, Sculptors, and Illustrators (27-1013)"
					Special Effects Artists and Animators (27-1014)
					"Artists and Related Workers, All Other (27-1019)"
27-1020	2630	Designers			
			27-1021	2631	Commercial and Industrial Designers
			27-1022	2632	Fashion Designers
			27-1023	2633	Floral Designers
			27-1024	2634	Graphic Designers
			27-1025	2635	Interior Designers
			27-1026	2636	Merchandise Displayers and Window Trimmers
			27-102X	2640	Other Designers
					Set and Exhibit Designers (27-1027)
					"Designers, All Other (27-1029)"
27-2011	2700	Actors	27-2011	2700	Actors
27-2012	2710	Producers and Directors	27-2012	2710	Producers and Directors
27-2020	2720	"Athletes, Coaches, Umpires, and Related Workers"			
			27-2021	2721	Athletes and Sports Competitors
			27-2022	2722	Coaches and Scouts
			27-2023	2723	"Umpires, Referees, and Other Sports Officials"
27-2030	2740	Dancers and Choreographers	27-2030	2740	Dancers and Choreographers
					Dancers (27-2031)
					Choreographers (27-2032)
27-2040	2750	"Musicians, Singers, and Related Workers"			
			27-2041	2751	Music Directors and Composers
			27-2042	2752	Musicians and Singers
			27-2091	2755	"Disc jockeys, except radio "
27-2099	2760	"Entertainers and Performers, Sports and Related Workers, All Other"	27-2099	2770	"Entertainers and Performers, Sports and Related Workers, All Other"
27-3010	2800	Announcers	27-3011	2805	Broadcast Announcers and Radio Disc Jockeys
27-3020	2810	"News Analysts, Reporters and Correspondents"	27-3023	2810	"News Analysts, Reporters, and Journalists"
27-3031	2825	Public Relations Specialists	27-3031	2825	Public Relations Specialists
27-3041	2830	Editors	27-3041	2830	Editors
27-3042	2840	Technical Writers	27-3042	2840	Technical Writers
27-3043	2850	Writers and Authors	27-3043	2850	Writers and Authors
27-3090	2860	Miscellaneous Media and Communication Workers			
			27-3091	2861	Interpreters and Translators
					
			27-3099	2865	"Media and Communication Workers, All Other"
27-4010	2900	Broadcast and Sound Engineering Technicians and Radio Operators	27-4010	2905	"Broadcast, Sound, and Lighting Technicians"
					Audio and Video Technicians (27-4011)
					Broadcast Technicians (27-4012)
					Sound Engineering Technicians (27-4014)
					Lighting Technicians (27-4015)
27-4021	2910	Photographers	27-4021	2910	Photographers
27-4030	2920	"Television, Video, and Motion Picture Camera Operators and Editors"	27-4030	2920	"Television, Video, and Film Camera Operators and Editors"
					"Camera Operators, Television, Video, and Film (27-4031)"
					Film and Video Editors (27-4032)
27-4099	2960	"Media and Communication Equipment Workers, All Other"	27-4099	2970	"Media and Communication Equipment Workers, All Other"
29-1011	3000	Chiropractors	29-1011	3000	Chiropractors
29-1020	3010	Dentists	29-1020	3010	Dentists
					"Dentists, General (29-1021)"
					Oral and Maxillofacial Surgeons (29-1022)
					Orthodontists (29-1023)
					Prosthodontists (29-1024)
					"Dentists, All Other Specialists (29-1029)"
29-1031	3030	Dietitians and Nutritionists	29-1031	3030	Dietitians and Nutritionists
29-1041	3040	Optometrists	29-1041	3040	Optometrists
29-1051	3050	Pharmacists	29-1051	3050	Pharmacists
29-1060	3060	Physicians and Surgeons			
			29-1214	3065	Emergency Medicine Physicians
			29-1224	3070	Radiologists
			29-12XX	3090	Other Physicians
					Anesthesiologists (29-1211)
					Cardiologists (29-1212)
					Dermatologists (29-1213)
					Family Medicine Physicians (29-1215)
					General Internal Medicine Physicians (29-1216)
					Neurologists (29-1217)
					Obstetricians and Gynecologists (29-1218)
					"Pediatricians, General (29-1221)"
					"Physicians, Pathologists (29-1222)"
					Psychiatrists (29-1223)
					"Physicians, All Other (29-1229)"
			29-1240	3100	Surgeons
					"Ophthalmologists, Except Pediatric (29-1241)"
					"Orthopedic Surgeons, Except Pediatric (29-1242)"
					Pediatric Surgeons (29-1243)
					"Surgeons, All Other (29-1249)"
29-1071	3110	Physician Assistants	29-1071	3110	Physician Assistants
29-1081	3120	Podiatrists	29-1081	3120	Podiatrists
29-1122	3150	Occupational Therapists	29-1122	3150	Occupational Therapists
29-1123	3160	Physical Therapists	29-1123	3160	Physical Therapists
29-1124	3200	Radiation Therapists	29-1124	3200	Radiation Therapists
29-1125	3210	Recreational Therapists	29-1125	3210	Recreational Therapists
29-1126	3220	Respiratory Therapists	29-1126	3220	Respiratory Therapists
29-1127	3230	Speech-Language Pathologists	29-1127	3230	Speech-Language Pathologists
29-1128	3235	Exercise Physiologists	29-1128	3235	Exercise Physiologists
29-1129	3245	"Therapists, All Other"	29-1129	3245	"Therapists, All Other"
29-1131	3250	Veterinarians	29-1131	3250	Veterinarians
29-1141	3255	Registered Nurses	29-1141	3255	Registered Nurses
29-1151	3256	Nurse Anesthetists	29-1151	3256	Nurse Anesthetists
29-1161	3257	Nurse Midwives	29-1161	3257	Nurse Midwives
29-1171	3258	Nurse Practitioners	29-1171	3258	Nurse Practitioners
29-1181	3140	Audiologists	29-1181	3140	Audiologists
29-1199	3260	"Health Diagnosing and Treating Practitioners, All Other"			
			29-1291	3261	Acupuncturists
			29-1299	3270	"Healthcare Diagnosing or Treating Practitioners, All Other"
29-2010	3300	Clinical Laboratory Technologists and Technicians	29-2010	3300	Clinical Laboratory Technologists and Technicians
					Medical and Clinical Laboratory Technologists (29-2011)
					Medical and Clinical Laboratory Technicians (29-2012)
29-2021	3310	Dental Hygienists	29-1292	3310	Dental Hygienists
29-2030	3320	Diagnostic Related Technologists and Technicians			
			29-2031	3321	Cardiovascular Technologists and Technicians
			29-2032	3322	Diagnostic Medical Sonographers
			29-2034	3323	Radiologic Technologists and Technicians
			29-2035	3324	Magnetic Resonance Imaging Technologists
			29-203X	3330	Nuclear Medicine Technologists and Medical Dosimetrists
					Nuclear Medicine Technologists (29-2033)
					Medical Dosimetrists (29-2036)
29-2041	3400	Emergency Medical Technicians and Paramedics			
			29-2042	3401	Emergency Medical Technicians
			29-2043	3402	Paramedics
29-2050	3420	Health Practitioner Support Technologists and  Technicians			
			29-2052	3421	Pharmacy Technicians
			29-2053	3422	Psychiatric Technicians
			29-2055	3423	Surgical Technologists
			29-2056	3424	Veterinary Technologists and Technicians
			29-205X	3430	Dietetic Technicians and Ophthalmic Medical Technicians
					Dietetic Technicians (29-2051)
					Ophthalmic Medical Technicians (29-2057)
29-2061	3500	Licensed Practical and Licensed Vocational Nurses	29-2061	3500	Licensed Practical and Licensed Vocational Nurses
29-2071	3510	Medical Records and Health Information Technicians	29-2072	3515	Medical Records Specialists
29-2081	3520	"Opticians, Dispensing"	29-2081	3520	"Opticians, Dispensing"
29-2090	3535	Miscellaneous Health Technologists and Technicians	29-2090	3545	Miscellaneous Health Technologists and Technicians
					Orthotists and Prosthetists (29-2091)
					Hearing Aid Specialists (29-2092)
					"Health Technologists and Technicians, All Other (29-2099)"
29-9000	3540	Other Healthcare Practitioners and Technical Occupations			
			29-9000	3550	Other Healthcare Practitioners and Technical Occupations
					Health Information Technologists and Medical Registrars (29-9021)
					Athletic Trainers (29-9091)
					Genetic Counselors (29-9092)
					Surgical Assistants (29-9093)
					"Healthcare Practitioners and Technical Workers, All Other (29-9099)"
			19-5010	1980	Occupational Health and Safety Specialists and Technicians
					Occupational Health and Safety Specialists (19-5011)
					Occupational Health and Safety Technicians (19-5012)
31-1010	3600	"Nursing, Psychiatric, and Home Health Aides"			
			31-1121	3601	Home Health Aides
			31-1131	3603	Nursing Assistants
			31-113X	3605	Orderlies and Psychiatric Aides
					Orderlies (31-1132)
					Psychiatric Aides (31-1133)
31-2010	3610	Occupational Therapy Assistants and Aides	31-2010	3610	Occupational Therapy Assistants and Aides
					Occupational Therapy Assistants (31-2011)
					Occupational Therapy Aides (31-2012)
31-2020	3620	Physical Therapist Assistants and Aides	31-2020	3620	Physical Therapist Assistants and Aides
					Physical Therapist Assistants (31-2021)
					Physical Therapist Aides (31-2022)
31-9011	3630	Massage Therapists	31-9011	3630	Massage Therapists
31-9091	3640	Dental Assistants	31-9091	3640	Dental Assistants
31-9092	3645	Medical Assistants 	31-9092	3645	Medical Assistants
31-9094	3646	Medical Transcriptionists	31-9094	3646	Medical Transcriptionists
31-9095	3647	Pharmacy Aides	31-9095	3647	Pharmacy Aides
31-9096	3648	Veterinary Assistants and Laboratory Animal Caretakers	31-9096	3648	Veterinary Assistants and Laboratory Animal Caretakers
31-9097	3649	Phlebotomists	31-9097	3649	Phlebotomists
