__typename,dateString,countryCode,countryName,sectorCode,sectorName,value
HiringLabSectoralPosting,2020-02-05,US,United States,techsoftware,Software Development,99.35
HiringLabSectoralPosting,2020-02-06,US,United States,arts,Arts & Entertainment,98.82
HiringLabSectoralPosting,2020-02-06,US,United States,finance,Banking & Finance,99.59
HiringLabSectoralPosting,2020-02-06,US,United States,legal,Legal,99.83
HiringLabSectoralPosting,2020-02-06,US,United States,management,Management,100.8
HiringLabSectoralPosting,2020-02-06,US,United States,mednurse,Nursing,99.67
HiringLabSectoralPosting,2020-02-06,US,United States,techsoftware,Software Development,99.33
HiringLabSectoralPosting,2020-02-07,US,United States,arts,Arts & Entertainment,98.73
HiringLabSectoralPosting,2020-02-07,US,United States,finance,Banking & Finance,99.55
HiringLabSectoralPosting,2020-02-07,US,United States,legal,Legal,99.69
HiringLabSectoralPosting,2020-02-07,US,United States,management,Management,100.77
HiringLabSectoralPosting,2020-02-07,US,United States,mednurse,Nursing,99.64
HiringLabSectoralPosting,2020-02-07,US,United States,techsoftware,Software Development,99.29
HiringLabSectoralPosting,2020-02-08,US,United States,arts,Arts & Entertainment,98.7
HiringLabSectoralPosting,2020-02-08,US,United States,finance,Banking & Finance,99.64
HiringLabSectoralPosting,2020-02-08,US,United States,legal,Legal,99.63
HiringLabSectoralPosting,2020-02-08,US,United States,management,Management,100.79
HiringLabSectoralPosting,2020-02-08,US,United States,mednurse,Nursing,99.57
HiringLabSectoralPosting,2020-02-08,US,United States,techsoftware,Software Development,99.36
HiringLabSectoralPosting,2020-02-09,US,United States,arts,Arts & Entertainment,98.82
HiringLabSectoralPosting,2020-02-09,US,United States,finance,Banking & Finance,99.53
HiringLabSectoralPosting,2020-02-09,US,United States,legal,Legal,99.53
HiringLabSectoralPosting,2020-02-09,US,United States,management,Management,100.76
HiringLabSectoralPosting,2020-02-09,US,United States,mednurse,Nursing,99.53
HiringLabSectoralPosting,2020-02-09,US,United States,techsoftware,Software Development,99.4
HiringLabSectoralPosting,2020-02-10,US,United States,arts,Arts & Entertainment,98.96
HiringLabSectoralPosting,2020-02-10,US,United States,finance,Banking & Finance,100.06
HiringLabSectoralPosting,2020-02-10,US,United States,legal,Legal,99.46
HiringLabSectoralPosting,2020-02-10,US,United States,management,Management,100.96
HiringLabSectoralPosting,2020-02-10,US,United States,mednurse,Nursing,99.54
HiringLabSectoralPosting,2020-02-10,US,United States,techsoftware,Software Development,99.48
HiringLabSectoralPosting,2020-02-11,US,United States,arts,Arts & Entertainment,99.29
HiringLabSectoralPosting,2020-02-11,US,United States,finance,Banking & Finance,100.63
HiringLabSectoralPosting,2020-02-11,US,United States,legal,Legal,99.33
HiringLabSectoralPosting,2020-02-11,US,United States,management,Management,101.2
HiringLabSectoralPosting,2020-02-11,US,United States,mednurse,Nursing,99.54
HiringLabSectoralPosting,2020-02-11,US,United States,techsoftware,Software Development,99.53
HiringLabSectoralPosting,2020-02-12,US,United States,arts,Arts & Entertainment,99.49
HiringLabSectoralPosting,2020-02-12,US,United States,finance,Banking & Finance,101.33
HiringLabSectoralPosting,2020-02-12,US,United States,legal,Legal,99.28
HiringLabSectoralPosting,2020-02-12,US,United States,management,Management,101.31
HiringLabSectoralPosting,2020-02-12,US,United States,mednurse,Nursing,99.62
HiringLabSectoralPosting,2020-02-12,US,United States,techsoftware,Software Development,99.54
HiringLabSectoralPosting,2020-02-13,US,United States,arts,Arts & Entertainment,99.53
HiringLabSectoralPosting,2020-02-13,US,United States,finance,Banking & Finance,101.87
HiringLabSectoralPosting,2020-02-13,US,United States,legal,Legal,99.29
HiringLabSectoralPosting,2020-02-13,US,United States,management,Management,101.43
HiringLabSectoralPosting,2020-02-13,US,United States,mednurse,Nursing,99.58
HiringLabSectoralPosting,2020-02-13,US,United States,techsoftware,Software Development,99.52
HiringLabSectoralPosting,2020-02-14,US,United States,arts,Arts & Entertainment,99.47
HiringLabSectoralPosting,2020-02-14,US,United States,finance,Banking & Finance,102.41
HiringLabSectoralPosting,2020-02-14,US,United States,legal,Legal,99.35
HiringLabSectoralPosting,2020-02-14,US,United States,management,Management,101.44
HiringLabSectoralPosting,2020-02-14,US,United States,mednurse,Nursing,99.67
HiringLabSectoralPosting,2020-02-14,US,United States,techsoftware,Software Development,99.55
HiringLabSectoralPosting,2020-02-15,US,United States,arts,Arts & Entertainment,99.31
HiringLabSectoralPosting,2020-02-15,US,United States,finance,Banking & Finance,102.72
HiringLabSectoralPosting,2020-02-15,US,United States,legal,Legal,99.28
HiringLabSectoralPosting,2020-02-15,US,United States,management,Management,101.04
HiringLabSectoralPosting,2020-02-15,US,United States,mednurse,Nursing,99.65
HiringLabSectoralPosting,2020-02-15,US,United States,techsoftware,Software Development,99.51
HiringLabSectoralPosting,2020-02-16,US,United States,arts,Arts & Entertainment,99.39
HiringLabSectoralPosting,2020-02-16,US,United States,finance,Banking & Finance,103.39
HiringLabSectoralPosting,2020-02-16,US,United States,legal,Legal,99.37
HiringLabSectoralPosting,2020-02-16,US,United States,management,Management,100.77
HiringLabSectoralPosting,2020-02-16,US,United States,mednurse,Nursing,99.73
HiringLabSectoralPosting,2020-02-16,US,United States,techsoftware,Software Development,99.62
HiringLabSectoralPosting,2020-02-17,US,United States,arts,Arts & Entertainment,99.58
HiringLabSectoralPosting,2020-02-17,US,United States,finance,Banking & Finance,103.43
HiringLabSectoralPosting,2020-02-17,US,United States,legal,Legal,99.44
HiringLabSectoralPosting,2020-02-17,US,United States,management,Management,100.37
HiringLabSectoralPosting,2020-02-17,US,United States,mednurse,Nursing,99.82
HiringLabSectoralPosting,2020-02-17,US,United States,techsoftware,Software Development,99.65
HiringLabSectoralPosting,2020-02-18,US,United States,arts,Arts & Entertainment,99.26
HiringLabSectoralPosting,2020-02-18,US,United States,finance,Banking & Finance,103.3
HiringLabSectoralPosting,2020-02-18,US,United States,legal,Legal,99.4
HiringLabSectoralPosting,2020-02-18,US,United States,management,Management,99.77
HiringLabSectoralPosting,2020-02-18,US,United States,mednurse,Nursing,99.89
HiringLabSectoralPosting,2020-02-18,US,United States,techsoftware,Software Development,99.63
HiringLabSectoralPosting,2020-02-19,US,United States,arts,Arts & Entertainment,99.1
HiringLabSectoralPosting,2020-02-19,US,United States,finance,Banking & Finance,103.22
HiringLabSectoralPosting,2020-02-19,US,United States,legal,Legal,99.36
HiringLabSectoralPosting,2020-02-19,US,United States,management,Management,99.26
HiringLabSectoralPosting,2020-02-19,US,United States,mednurse,Nursing,99.92
HiringLabSectoralPosting,2020-02-19,US,United States,techsoftware,Software Development,99.61
HiringLabSectoralPosting,2020-02-20,US,United States,arts,Arts & Entertainment,99.11
HiringLabSectoralPosting,2020-02-20,US,United States,finance,Banking & Finance,103.18
HiringLabSectoralPosting,2020-02-20,US,United States,legal,Legal,99.36
HiringLabSectoralPosting,2020-02-20,US,United States,management,Management,98.79
HiringLabSectoralPosting,2020-02-20,US,United States,mednurse,Nursing,100
HiringLabSectoralPosting,2020-02-20,US,United States,techsoftware,Software Development,99.64
HiringLabSectoralPosting,2020-02-21,US,United States,arts,Arts & Entertainment,99.26
HiringLabSectoralPosting,2020-02-21,US,United States,finance,Banking & Finance,103.14
HiringLabSectoralPosting,2020-02-21,US,United States,legal,Legal,99.34
HiringLabSectoralPosting,2020-02-21,US,United States,management,Management,98.39
HiringLabSectoralPosting,2020-02-21,US,United States,mednurse,Nursing,99.98
HiringLabSectoralPosting,2020-02-21,US,United States,techsoftware,Software Development,99.63
HiringLabSectoralPosting,2020-02-22,US,United States,arts,Arts & Entertainment,99.17
HiringLabSectoralPosting,2020-02-22,US,United States,finance,Banking & Finance,103.09
HiringLabSectoralPosting,2020-02-22,US,United States,legal,Legal,99.2
HiringLabSectoralPosting,2020-02-22,US,United States,management,Management,98.35
HiringLabSectoralPosting,2020-02-22,US,United States,mednurse,Nursing,100.05
HiringLabSectoralPosting,2020-02-22,US,United States,techsoftware,Software Development,99.48
HiringLabSectoralPosting,2020-02-23,US,United States,arts,Arts & Entertainment,98.93
HiringLabSectoralPosting,2020-02-23,US,United States,finance,Banking & Finance,103.18
HiringLabSectoralPosting,2020-02-23,US,United States,legal,Legal,99.1
HiringLabSectoralPosting,2020-02-23,US,United States,management,Management,98.35
HiringLabSectoralPosting,2020-02-23,US,United States,mednurse,Nursing,100.09
HiringLabSectoralPosting,2020-02-23,US,United States,techsoftware,Software Development,99.46
HiringLabSectoralPosting,2020-02-24,US,United States,arts,Arts & Entertainment,98.43
HiringLabSectoralPosting,2020-02-24,US,United States,finance,Banking & Finance,103.31
HiringLabSectoralPosting,2020-02-24,US,United States,legal,Legal,98.92
HiringLabSectoralPosting,2020-02-24,US,United States,management,Management,98.34
HiringLabSectoralPosting,2020-02-24,US,United States,mednurse,Nursing,100.08
HiringLabSectoralPosting,2020-02-24,US,United States,techsoftware,Software Development,99.39
HiringLabSectoralPosting,2020-02-25,US,United States,arts,Arts & Entertainment,98.47
HiringLabSectoralPosting,2020-02-25,US,United States,finance,Banking & Finance,103.61
HiringLabSectoralPosting,2020-02-25,US,United States,legal,Legal,98.96
HiringLabSectoralPosting,2020-02-25,US,United States,management,Management,98.54
HiringLabSectoralPosting,2020-02-25,US,United States,mednurse,Nursing,100.16
HiringLabSectoralPosting,2020-02-25,US,United States,techsoftware,Software Development,99.48
HiringLabSectoralPosting,2020-02-26,US,United States,arts,Arts & Entertainment,98.38
HiringLabSectoralPosting,2020-02-26,US,United States,finance,Banking & Finance,103.77
HiringLabSectoralPosting,2020-02-26,US,United States,legal,Legal,99.06
HiringLabSectoralPosting,2020-02-26,US,United States,management,Management,98.72
HiringLabSectoralPosting,2020-02-26,US,United States,mednurse,Nursing,100.28
HiringLabSectoralPosting,2020-02-26,US,United States,techsoftware,Software Development,99.52
HiringLabSectoralPosting,2020-02-27,US,United States,arts,Arts & Entertainment,98.31
HiringLabSectoralPosting,2020-02-27,US,United States,finance,Banking & Finance,104.06
HiringLabSectoralPosting,2020-02-27,US,United States,legal,Legal,99.02
HiringLabSectoralPosting,2020-02-27,US,United States,management,Management,98.84
HiringLabSectoralPosting,2020-02-27,US,United States,mednurse,Nursing,100.41
HiringLabSectoralPosting,2020-02-27,US,United States,techsoftware,Software Development,99.55
HiringLabSectoralPosting,2020-02-28,US,United States,arts,Arts & Entertainment,98.21
HiringLabSectoralPosting,2020-02-28,US,United States,finance,Banking & Finance,104.29
HiringLabSectoralPosting,2020-02-28,US,United States,legal,Legal,98.96
HiringLabSectoralPosting,2020-02-28,US,United States,management,Management,98.93
HiringLabSectoralPosting,2020-02-28,US,United States,mednurse,Nursing,100.62
HiringLabSectoralPosting,2020-02-28,US,United States,techsoftware,Software Development,99.62
HiringLabSectoralPosting,2020-02-29,US,United States,arts,Arts & Entertainment,98.27
HiringLabSectoralPosting,2020-02-29,US,United States,finance,Banking & Finance,104.75
HiringLabSectoralPosting,2020-02-29,US,United States,legal,Legal,99.07
HiringLabSectoralPosting,2020-02-29,US,United States,management,Management,99.08
HiringLabSectoralPosting,2020-02-29,US,United States,mednurse,Nursing,100.98
HiringLabSectoralPosting,2020-02-29,US,United States,techsoftware,Software Development,99.89
HiringLabSectoralPosting,2020-03-01,US,United States,arts,Arts & Entertainment,98.32
HiringLabSectoralPosting,2020-03-01,US,United States,finance,Banking & Finance,104.99
HiringLabSectoralPosting,2020-03-01,US,United States,legal,Legal,99.06
HiringLabSectoralPosting,2020-03-01,US,United States,management,Management,99.16
HiringLabSectoralPosting,2020-03-01,US,United States,mednurse,Nursing,101.36
HiringLabSectoralPosting,2020-03-01,US,United States,techsoftware,Software Development,100.02
HiringLabSectoralPosting,2020-03-02,US,United States,arts,Arts & Entertainment,98.69
HiringLabSectoralPosting,2020-03-02,US,United States,finance,Banking & Finance,105.26
HiringLabSectoralPosting,2020-03-02,US,United States,legal,Legal,99.12
HiringLabSectoralPosting,2020-03-02,US,United States,management,Management,99.19
HiringLabSectoralPosting,2020-03-02,US,United States,mednurse,Nursing,101.72
HiringLabSectoralPosting,2020-03-02,US,United States,techsoftware,Software Development,100.21
HiringLabSectoralPosting,2020-03-03,US,United States,arts,Arts & Entertainment,98.83
HiringLabSectoralPosting,2020-03-03,US,United States,finance,Banking & Finance,105.64
HiringLabSectoralPosting,2020-03-03,US,United States,legal,Legal,99.16
HiringLabSectoralPosting,2020-03-03,US,United States,management,Management,99.18
HiringLabSectoralPosting,2020-03-03,US,United States,mednurse,Nursing,101.91
HiringLabSectoralPosting,2020-03-03,US,United States,techsoftware,Software Development,100.34
HiringLabSectoralPosting,2020-03-04,US,United States,arts,Arts & Entertainment,98.99
HiringLabSectoralPosting,2020-03-04,US,United States,finance,Banking & Finance,105.8
HiringLabSectoralPosting,2020-03-04,US,United States,legal,Legal,99.06
HiringLabSectoralPosting,2020-03-04,US,United States,management,Management,99.03
HiringLabSectoralPosting,2020-03-04,US,United States,mednurse,Nursing,101.94
HiringLabSectoralPosting,2020-03-04,US,United States,techsoftware,Software Development,100.46
HiringLabSectoralPosting,2020-03-05,US,United States,arts,Arts & Entertainment,98.92
HiringLabSectoralPosting,2020-03-05,US,United States,finance,Banking & Finance,106.03
HiringLabSectoralPosting,2020-03-05,US,United States,legal,Legal,99.03
HiringLabSectoralPosting,2020-03-05,US,United States,management,Management,98.92
HiringLabSectoralPosting,2020-03-05,US,United States,mednurse,Nursing,101.89
HiringLabSectoralPosting,2020-03-05,US,United States,techsoftware,Software Development,100.51
HiringLabSectoralPosting,2020-03-06,US,United States,arts,Arts & Entertainment,98.93
HiringLabSectoralPosting,2020-03-06,US,United States,finance,Banking & Finance,106.42
HiringLabSectoralPosting,2020-03-06,US,United States,legal,Legal,99.07
HiringLabSectoralPosting,2020-03-06,US,United States,management,Management,98.76
HiringLabSectoralPosting,2020-03-06,US,United States,mednurse,Nursing,101.78
HiringLabSectoralPosting,2020-03-06,US,United States,techsoftware,Software Development,100.62
HiringLabSectoralPosting,2020-03-07,US,United States,arts,Arts & Entertainment,98.99
HiringLabSectoralPosting,2020-03-07,US,United States,finance,Banking & Finance,106.7
HiringLabSectoralPosting,2020-03-07,US,United States,legal,Legal,99.16
HiringLabSectoralPosting,2020-03-07,US,United States,management,Management,98.59
HiringLabSectoralPosting,2020-03-07,US,United States,mednurse,Nursing,101.56
HiringLabSectoralPosting,2020-03-07,US,United States,techsoftware,Software Development,100.65
HiringLabSectoralPosting,2020-03-08,US,United States,arts,Arts & Entertainment,98.9
HiringLabSectoralPosting,2020-03-08,US,United States,finance,Banking & Finance,106.88
HiringLabSectoralPosting,2020-03-08,US,United States,legal,Legal,99.15
HiringLabSectoralPosting,2020-03-08,US,United States,management,Management,98.37
HiringLabSectoralPosting,2020-03-08,US,United States,mednurse,Nursing,101.27
HiringLabSectoralPosting,2020-03-08,US,United States,techsoftware,Software Development,100.56
HiringLabSectoralPosting,2020-03-09,US,United States,arts,Arts & Entertainment,98.65
HiringLabSectoralPosting,2020-03-09,US,United States,finance,Banking & Finance,107.03
HiringLabSectoralPosting,2020-03-09,US,United States,legal,Legal,99.06
HiringLabSectoralPosting,2020-03-09,US,United States,management,Management,98.21
HiringLabSectoralPosting,2020-03-09,US,United States,mednurse,Nursing,100.83
HiringLabSectoralPosting,2020-03-09,US,United States,techsoftware,Software Development,100.37
HiringLabSectoralPosting,2020-03-10,US,United States,arts,Arts & Entertainment,98.62
HiringLabSectoralPosting,2020-03-10,US,United States,finance,Banking & Finance,107.27
HiringLabSectoralPosting,2020-03-10,US,United States,legal,Legal,98.94
HiringLabSectoralPosting,2020-03-10,US,United States,management,Management,98.11
HiringLabSectoralPosting,2020-03-10,US,United States,mednurse,Nursing,100.46
HiringLabSectoralPosting,2020-03-10,US,United States,techsoftware,Software Development,100.32
HiringLabSectoralPosting,2020-03-11,US,United States,arts,Arts & Entertainment,98.52
HiringLabSectoralPosting,2020-03-11,US,United States,finance,Banking & Finance,107.49
HiringLabSectoralPosting,2020-03-11,US,United States,legal,Legal,98.73
HiringLabSectoralPosting,2020-03-11,US,United States,management,Management,98.07
HiringLabSectoralPosting,2020-03-11,US,United States,mednurse,Nursing,100.21
HiringLabSectoralPosting,2020-03-11,US,United States,techsoftware,Software Development,100.23
HiringLabSectoralPosting,2020-03-12,US,United States,arts,Arts & Entertainment,98.5
HiringLabSectoralPosting,2020-03-12,US,United States,finance,Banking & Finance,107.5
HiringLabSectoralPosting,2020-03-12,US,United States,legal,Legal,98.46
HiringLabSectoralPosting,2020-03-12,US,United States,management,Management,98
HiringLabSectoralPosting,2020-03-12,US,United States,mednurse,Nursing,100
HiringLabSectoralPosting,2020-03-12,US,United States,techsoftware,Software Development,100.22
HiringLabSectoralPosting,2020-03-13,US,United States,arts,Arts & Entertainment,98.31
HiringLabSectoralPosting,2020-03-13,US,United States,finance,Banking & Finance,107.2
HiringLabSectoralPosting,2020-03-13,US,United States,legal,Legal,98.15
HiringLabSectoralPosting,2020-03-13,US,United States,management,Management,97.91
HiringLabSectoralPosting,2020-03-13,US,United States,mednurse,Nursing,99.85
HiringLabSectoralPosting,2020-03-13,US,United States,techsoftware,Software Development,100.11
HiringLabSectoralPosting,2020-03-14,US,United States,arts,Arts & Entertainment,98.17
HiringLabSectoralPosting,2020-03-14,US,United States,finance,Banking & Finance,107.04
HiringLabSectoralPosting,2020-03-14,US,United States,legal,Legal,97.77
HiringLabSectoralPosting,2020-03-14,US,United States,management,Management,97.8
HiringLabSectoralPosting,2020-03-14,US,United States,mednurse,Nursing,99.69
HiringLabSectoralPosting,2020-03-14,US,United States,techsoftware,Software Development,100.09
HiringLabSectoralPosting,2020-03-15,US,United States,arts,Arts & Entertainment,98.01
HiringLabSectoralPosting,2020-03-15,US,United States,finance,Banking & Finance,106.74
HiringLabSectoralPosting,2020-03-15,US,United States,legal,Legal,97.4
HiringLabSectoralPosting,2020-03-15,US,United States,management,Management,97.64
HiringLabSectoralPosting,2020-03-15,US,United States,mednurse,Nursing,99.38
HiringLabSectoralPosting,2020-03-15,US,United States,techsoftware,Software Development,100.07
HiringLabSectoralPosting,2020-03-16,US,United States,arts,Arts & Entertainment,97.86
HiringLabSectoralPosting,2020-03-16,US,United States,finance,Banking & Finance,106.51
HiringLabSectoralPosting,2020-03-16,US,United States,legal,Legal,97.08
HiringLabSectoralPosting,2020-03-16,US,United States,management,Management,97.47
HiringLabSectoralPosting,2020-03-16,US,United States,mednurse,Nursing,99.38
HiringLabSectoralPosting,2020-03-16,US,United States,techsoftware,Software Development,100.15
HiringLabSectoralPosting,2020-03-17,US,United States,arts,Arts & Entertainment,97.36
HiringLabSectoralPosting,2020-03-17,US,United States,finance,Banking & Finance,106.01
HiringLabSectoralPosting,2020-03-17,US,United States,legal,Legal,96.45
HiringLabSectoralPosting,2020-03-17,US,United States,management,Management,97.19
HiringLabSectoralPosting,2020-03-17,US,United States,mednurse,Nursing,99.26
HiringLabSectoralPosting,2020-03-17,US,United States,techsoftware,Software Development,100
HiringLabSectoralPosting,2020-03-18,US,United States,arts,Arts & Entertainment,96.67
HiringLabSectoralPosting,2020-03-18,US,United States,finance,Banking & Finance,105.52
HiringLabSectoralPosting,2020-03-18,US,United States,legal,Legal,95.78
HiringLabSectoralPosting,2020-03-18,US,United States,management,Management,96.8
HiringLabSectoralPosting,2020-03-18,US,United States,mednurse,Nursing,99.2
HiringLabSectoralPosting,2020-03-18,US,United States,techsoftware,Software Development,99.82
HiringLabSectoralPosting,2020-03-19,US,United States,arts,Arts & Entertainment,95.8
HiringLabSectoralPosting,2020-03-19,US,United States,finance,Banking & Finance,104.85
HiringLabSectoralPosting,2020-03-19,US,United States,legal,Legal,94.82
HiringLabSectoralPosting,2020-03-19,US,United States,management,Management,96.23
HiringLabSectoralPosting,2020-03-19,US,United States,mednurse,Nursing,99.15
HiringLabSectoralPosting,2020-03-19,US,United States,techsoftware,Software Development,99.5
HiringLabSectoralPosting,2020-03-20,US,United States,arts,Arts & Entertainment,94.42
HiringLabSectoralPosting,2020-03-20,US,United States,finance,Banking & Finance,104.19
HiringLabSectoralPosting,2020-03-20,US,United States,legal,Legal,93.48
HiringLabSectoralPosting,2020-03-20,US,United States,management,Management,95.5
HiringLabSectoralPosting,2020-03-20,US,United States,mednurse,Nursing,98.96
HiringLabSectoralPosting,2020-03-20,US,United States,techsoftware,Software Development,99.11
HiringLabSectoralPosting,2020-03-21,US,United States,arts,Arts & Entertainment,92.7
HiringLabSectoralPosting,2020-03-21,US,United States,finance,Banking & Finance,103.11
HiringLabSectoralPosting,2020-03-21,US,United States,legal,Legal,91.81
HiringLabSectoralPosting,2020-03-21,US,United States,management,Management,94.37
HiringLabSectoralPosting,2020-03-21,US,United States,mednurse,Nursing,98.62
HiringLabSectoralPosting,2020-03-21,US,United States,techsoftware,Software Development,98.46
HiringLabSectoralPosting,2020-03-22,US,United States,arts,Arts & Entertainment,91.23
HiringLabSectoralPosting,2020-03-22,US,United States,finance,Banking & Finance,102.13
HiringLabSectoralPosting,2020-03-22,US,United States,legal,Legal,90.31
HiringLabSectoralPosting,2020-03-22,US,United States,management,Management,93.32
HiringLabSectoralPosting,2020-03-22,US,United States,mednurse,Nursing,98.58
HiringLabSectoralPosting,2020-03-22,US,United States,techsoftware,Software Development,97.88
HiringLabSectoralPosting,2020-03-23,US,United States,arts,Arts & Entertainment,89.56
HiringLabSectoralPosting,2020-03-23,US,United States,finance,Banking & Finance,100.99
HiringLabSectoralPosting,2020-03-23,US,United States,legal,Legal,88.68
HiringLabSectoralPosting,2020-03-23,US,United States,management,Management,92.22
HiringLabSectoralPosting,2020-03-23,US,United States,mednurse,Nursing,98.3
HiringLabSectoralPosting,2020-03-23,US,United States,techsoftware,Software Development,97.18
HiringLabSectoralPosting,2020-03-24,US,United States,arts,Arts & Entertainment,88.08
HiringLabSectoralPosting,2020-03-24,US,United States,finance,Banking & Finance,99.14
HiringLabSectoralPosting,2020-03-24,US,United States,legal,Legal,87.22
HiringLabSectoralPosting,2020-03-24,US,United States,management,Management,91.12
HiringLabSectoralPosting,2020-03-24,US,United States,mednurse,Nursing,98.12
HiringLabSectoralPosting,2020-03-24,US,United States,techsoftware,Software Development,96.61
HiringLabSectoralPosting,2020-03-25,US,United States,arts,Arts & Entertainment,86.41
HiringLabSectoralPosting,2020-03-25,US,United States,finance,Banking & Finance,97.06
HiringLabSectoralPosting,2020-03-25,US,United States,legal,Legal,85.49
HiringLabSectoralPosting,2020-03-25,US,United States,management,Management,89.88
HiringLabSectoralPosting,2020-03-25,US,United States,mednurse,Nursing,97.68
HiringLabSectoralPosting,2020-03-25,US,United States,techsoftware,Software Development,95.85
HiringLabSectoralPosting,2020-03-26,US,United States,arts,Arts & Entertainment,85.35
HiringLabSectoralPosting,2020-03-26,US,United States,finance,Banking & Finance,94.84
HiringLabSectoralPosting,2020-03-26,US,United States,legal,Legal,83.76
HiringLabSectoralPosting,2020-03-26,US,United States,management,Management,88.65
HiringLabSectoralPosting,2020-03-26,US,United States,mednurse,Nursing,97.13
HiringLabSectoralPosting,2020-03-26,US,United States,techsoftware,Software Development,94.83
HiringLabSectoralPosting,2020-03-27,US,United States,arts,Arts & Entertainment,84.18
HiringLabSectoralPosting,2020-03-27,US,United States,finance,Banking & Finance,92.23
HiringLabSectoralPosting,2020-03-27,US,United States,legal,Legal,81.96
HiringLabSectoralPosting,2020-03-27,US,United States,management,Management,87.37
HiringLabSectoralPosting,2020-03-27,US,United States,mednurse,Nursing,96.42
HiringLabSectoralPosting,2020-03-27,US,United States,techsoftware,Software Development,93.35
HiringLabSectoralPosting,2020-03-28,US,United States,arts,Arts & Entertainment,83.22
HiringLabSectoralPosting,2020-03-28,US,United States,finance,Banking & Finance,89.88
HiringLabSectoralPosting,2020-03-28,US,United States,legal,Legal,80.33
HiringLabSectoralPosting,2020-03-28,US,United States,management,Management,86.5
HiringLabSectoralPosting,2020-03-28,US,United States,mednurse,Nursing,95.62
HiringLabSectoralPosting,2020-03-28,US,United States,techsoftware,Software Development,91.97
HiringLabSectoralPosting,2020-03-29,US,United States,arts,Arts & Entertainment,82
HiringLabSectoralPosting,2020-03-29,US,United States,finance,Banking & Finance,87.44
HiringLabSectoralPosting,2020-03-29,US,United States,legal,Legal,78.6
HiringLabSectoralPosting,2020-03-29,US,United States,management,Management,85.55
HiringLabSectoralPosting,2020-03-29,US,United States,mednurse,Nursing,94.73
HiringLabSectoralPosting,2020-03-29,US,United States,techsoftware,Software Development,90.44
HiringLabSectoralPosting,2020-03-30,US,United States,arts,Arts & Entertainment,80.87
HiringLabSectoralPosting,2020-03-30,US,United States,finance,Banking & Finance,85.06
HiringLabSectoralPosting,2020-03-30,US,United States,legal,Legal,77.01
HiringLabSectoralPosting,2020-03-30,US,United States,management,Management,84.67
HiringLabSectoralPosting,2020-03-30,US,United States,mednurse,Nursing,93.85
HiringLabSectoralPosting,2020-03-30,US,United States,techsoftware,Software Development,89.03
HiringLabSectoralPosting,2020-03-31,US,United States,arts,Arts & Entertainment,78.99
HiringLabSectoralPosting,2020-03-31,US,United States,finance,Banking & Finance,83.34
HiringLabSectoralPosting,2020-03-31,US,United States,legal,Legal,75.37
HiringLabSectoralPosting,2020-03-31,US,United States,management,Management,83.7
HiringLabSectoralPosting,2020-03-31,US,United States,mednurse,Nursing,93.02
HiringLabSectoralPosting,2020-03-31,US,United States,techsoftware,Software Development,87.51
HiringLabSectoralPosting,2020-04-01,US,United States,arts,Arts & Entertainment,77.26
HiringLabSectoralPosting,2020-04-01,US,United States,finance,Banking & Finance,81.71
